190038 329891
662 41.824538 -87.630921
663 41.823852 -87.630064
664 41.836164 -87.630382
665 41.836375 -87.631206
666 41.844313 -87.631560
667 41.844384 -87.632773
668 41.842655 -87.630383
669 41.767550 -87.610608
670 41.767734 -87.610613
671 41.751579 -87.588163
672 41.744407 -87.578149
673 41.738906 -87.570596
674 41.738670 -87.570531
675 41.744402 -87.578405
676 41.751579 -87.588409
677 41.730688 -87.559275
678 41.726746 -87.553799
679 41.725308 -87.551582
680 41.725229 -87.551684
681 41.722649 -87.548633
682 41.722586 -87.548757
683 41.721200 -87.547290
684 41.715342 -87.539238
685 41.715622 -87.539544
686 41.714531 -87.537066
687 41.714220 -87.536722
688 41.845667 -87.649518
689 41.845805 -87.647660
690 41.845973 -87.646601
691 41.846305 -87.645489
692 41.846877 -87.643928
693 41.847090 -87.628154
694 41.847092 -87.628934
695 41.847132 -87.629345
696 41.847242 -87.630026
697 41.847153 -87.642816
698 41.847287 -87.641121
699 41.847294 -87.640288
700 41.847422 -87.611854
701 41.847460 -87.612235
702 41.849897 -87.613252
703 41.843509 -87.610426
704 41.844503 -87.611130
705 41.841459 -87.609542
706 41.839057 -87.608524
707 41.839019 -87.608834
708 41.837111 -87.607900
709 41.837058 -87.608196
710 41.835313 -87.607768
711 41.835492 -87.608085
712 41.834248 -87.607609
713 41.834143 -87.607889
714 41.831085 -87.605728
715 41.830975 -87.605998
716 41.828143 -87.602875
717 41.828097 -87.603167
718 41.827419 -87.602016
719 41.825731 -87.600487
720 41.825586 -87.600635
721 41.823048 -87.599443
722 41.821212 -87.598158
723 41.820978 -87.598336
724 41.819008 -87.596481
725 41.818782 -87.596665
726 41.816116 -87.594270
727 41.816078 -87.594592
728 41.813908 -87.591989
729 41.813975 -87.592525
730 41.812661 -87.590856
731 41.811431 -87.589211
732 41.808451 -87.586764
733 41.808678 -87.587521
734 41.807156 -87.585828
735 41.807026 -87.585989
736 41.806763 -87.585457
737 41.806961 -87.585927
738 41.805143 -87.583121
739 41.805047 -87.583246
740 41.804316 -87.582233
741 41.804149 -87.582304
742 41.803137 -87.581587
743 41.803117 -87.581745
744 41.801585 -87.581429
745 41.802525 -87.581608
746 41.799728 -87.581367
747 41.802032 -87.581582
748 41.798525 -87.580952
749 41.798440 -87.581054
750 41.797436 -87.580050
751 41.797395 -87.580181
752 41.796430 -87.579226
753 41.796356 -87.579340
754 41.795318 -87.579068
755 41.794998 -87.579289
756 41.794438 -87.579455
757 41.793033 -87.580136
758 41.791658 -87.580235
759 41.791675 -87.580052
760 41.790678 -87.579609
761 41.790814 -87.579520
762 41.789181 -87.578194
763 41.789282 -87.578088
764 41.787388 -87.577839
765 41.787423 -87.577718
766 41.786724 -87.577754
767 41.786749 -87.577637
768 41.783762 -87.576617
769 41.783655 -87.576425
770 41.781823 -87.575390
771 41.782398 -87.575637
772 41.781583 -87.575224
773 41.781457 -87.574929
774 41.780361 -87.574787
775 41.780274 -87.574622
776 41.778413 -87.575805
777 41.778372 -87.575673
778 41.777817 -87.575828
779 41.711377 -87.532969
780 41.711305 -87.533090
781 41.881987 -87.629399
782 41.881984 -87.630875
783 41.881953 -87.632362
784 41.880712 -87.629359
785 41.880701 -87.630838
786 41.880685 -87.632331
787 41.879406 -87.632294
788 41.879429 -87.630805
789 41.879444 -87.629327
790 41.883248 -87.627866
791 41.884489 -87.627902
792 41.884483 -87.629468
793 41.883235 -87.629431
794 41.883247 -87.630934
795 41.884477 -87.630953
796 41.883243 -87.632417
797 41.886949 -87.629527
798 41.886949 -87.631015
799 41.886947 -87.632499
800 41.961613 -87.667719
801 41.954316 -87.667514
802 41.886906 -87.635440
803 41.886023 -87.636831
804 41.885732 -87.636973
805 41.884462 -87.637084
806 41.883220 -87.637054
807 41.886953 -87.626702
808 41.886809 -87.627308
809 41.886819 -87.628066
810 41.886823 -87.629525
811 41.886820 -87.631009
812 41.886769 -87.635439
813 41.886051 -87.636569
814 41.885733 -87.636760
815 41.884458 -87.636843
816 41.883223 -87.636818
817 41.881915 -87.636785
818 41.888194 -87.624469
819 41.784573 -87.741260
820 41.783110 -87.742154
821 41.771136 -87.742050
822 41.896656 -87.629780
823 41.893255 -87.629681
824 41.891644 -87.629638
825 41.890844 -87.629616
826 41.890042 -87.629598
827 41.896634 -87.631243
828 41.894036 -87.631182
829 41.893233 -87.631163
830 41.891621 -87.631127
831 41.890022 -87.631091
832 41.889218 -87.631063
833 41.895592 -87.634181
834 41.894792 -87.634158
835 41.893188 -87.634111
836 41.892404 -87.634078
837 41.891576 -87.634055
838 41.890794 -87.634034
839 41.932914 -87.639310
840 41.932807 -87.644906
841 41.864113 -87.624082
842 41.864134 -87.622567
843 41.864135 -87.622393
844 41.852932 -87.623812
845 41.852866 -87.634827
846 41.852950 -87.622229
847 41.865753 -87.627465
848 41.867447 -87.620380
849 41.873217 -87.620596
850 41.878341 -87.620710
851 41.880877 -87.620794
852 41.883210 -87.620733
853 41.888909 -87.620621
854 41.891016 -87.620210
855 41.875942 -87.644772
856 41.860127 -87.630281
857 41.872252 -87.630610
858 41.874540 -87.629195
859 41.867506 -87.624157
860 41.865815 -87.622403
861 41.867418 -87.622442
862 41.867415 -87.622676
863 41.850928 -87.630715
864 41.851046 -87.630850
865 41.851236 -87.630970
866 41.851534 -87.631024
867 41.852915 -87.625516
868 41.867398 -87.625830
869 41.864140 -87.621368
870 41.863491 -87.621349
871 41.863213 -87.621336
872 41.862989 -87.621236
873 41.862493 -87.620923
874 41.862276 -87.620829
875 41.861579 -87.620804
876 41.861266 -87.620796
877 41.938452 -87.776211
878 41.925345 -87.677909
879 41.924962 -87.683686
880 41.925026 -87.677893
881 41.921390 -87.677766
882 41.881782 -87.647361
883 41.891194 -87.647627
884 41.910927 -87.648286
885 41.913068 -87.663891
886 41.871971 -87.643814
887 41.857669 -87.638934
888 41.903351 -87.667494
889 41.899842 -87.660983
890 41.915244 -87.684945
891 41.914720 -87.687336
892 41.918001 -87.689286
893 41.912571 -87.687275
894 41.901373 -87.677211
895 41.899544 -87.677161
896 41.910633 -87.667760
897 41.925139 -87.669348
898 41.924778 -87.702314
899 41.924902 -87.687645
900 41.785141 -87.741223
901 41.783727 -87.741699
902 41.753588 -87.741490
903 41.734913 -87.741018
904 41.774146 -87.619340
905 41.758444 -87.625814
906 41.749422 -87.625358
907 41.735902 -87.624986
908 41.720145 -87.624684
909 41.728801 -87.624363
910 41.756169 -87.625316
911 41.911164 -87.638583
912 41.911171 -87.633223
913 41.918178 -87.648523
914 41.932729 -87.649013
915 41.947315 -87.649493
916 41.918214 -87.646104
917 41.913868 -87.645953
918 41.917877 -87.671608
919 41.917930 -87.667505
920 41.918105 -87.653366
921 41.918250 -87.643665
922 41.903768 -87.639563
923 41.906457 -87.643295
924 41.910013 -87.648257
925 41.915069 -87.655298
926 41.917207 -87.658278
927 41.918224 -87.659690
928 41.920732 -87.663168
929 41.921615 -87.664379
930 41.928671 -87.673993
931 41.932278 -87.678134
932 41.903578 -87.652552
933 41.903643 -87.648086
934 41.903886 -87.633004
935 41.903945 -87.628691
936 41.903979 -87.626870
937 41.904013 -87.625015
938 41.896255 -87.655403
939 41.896492 -87.641559
940 41.896556 -87.637178
941 41.896610 -87.632793
942 41.997348 -87.787876
943 41.969091 -87.761808
944 41.921372 -87.694818
945 41.997158 -87.770623
946 41.997257 -87.749696
947 41.998191 -87.660540
948 41.997397 -87.774310
949 42.012227 -87.683329
950 42.011715 -87.806637
951 42.011580 -87.812252
952 42.008568 -87.785795
953 42.005550 -87.783216
954 41.996715 -87.765439
955 41.992409 -87.756231
956 41.990827 -87.752725
957 41.990750 -87.672402
958 41.990440 -87.689669
959 41.990392 -87.707635
960 41.990146 -87.728634
961 41.989958 -87.748329
962 41.990005 -87.749719
963 41.997330 -87.765760
964 41.976447 -87.768454
965 41.967781 -87.767479
966 41.960484 -87.767242
967 41.989158 -87.751428
968 41.987219 -87.751521
969 41.985727 -87.751070
970 41.985260 -87.750815
971 41.984597 -87.750286
972 41.982686 -87.748531
973 41.971350 -87.747467
974 41.967807 -87.747228
975 41.966563 -87.747223
976 41.963909 -87.747006
977 41.961682 -87.745080
978 41.960953 -87.743608
979 41.963727 -87.745916
980 41.964863 -87.746676
981 41.966449 -87.746961
982 41.967250 -87.747015
983 41.969597 -87.747134
984 41.972024 -87.747318
985 41.975724 -87.747426
986 41.976583 -87.747353
987 41.979150 -87.746580
988 41.980044 -87.746614
989 41.981120 -87.747021
990 41.982931 -87.748537
991 41.984668 -87.750132
992 41.928493 -87.653008
993 41.963201 -87.685020
994 41.966819 -87.687381
995 41.966834 -87.687548
996 41.966699 -87.688076
997 41.976770 -87.692409
998 41.981663 -87.692836
999 41.981931 -87.693045
1000 41.986494 -87.700842
1001 41.970913 -87.648244
1002 41.973046 -87.648738
1003 41.975021 -87.649501
1004 41.976763 -87.650314
1005 41.980688 -87.652125
1006 41.981960 -87.652514
1007 41.983077 -87.652674
1008 41.983981 -87.652705
1009 41.982734 -87.653020
1010 41.981232 -87.652706
1011 41.979349 -87.651906
1012 41.976492 -87.650581
1013 41.975287 -87.650021
1014 41.974283 -87.649568
1015 41.972134 -87.648822
1016 41.969229 -87.648137
1017 41.965538 -87.647283
1018 41.938840 -87.746880
1019 41.953418 -87.747303
1020 41.959821 -87.747512
1021 41.961780 -87.747568
1022 41.962576 -87.747173
1023 41.962920 -87.746912
1024 41.964262 -87.747610
1025 41.983942 -87.748266
1026 41.997236 -87.748326
1027 41.966781 -87.688847
1028 41.946272 -87.735605
1029 41.946367 -87.727991
1030 41.905072 -87.746031
1031 41.910045 -87.746136
